ID,RT,DT,CCS,m/z, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP
95,13.861,26.441,198.17,385.2361,12254.0,12039.0,11555.0,10878.0,9996.0,9957.0,13209.0,13922.0,12933.0,11935.0,11333.0,10883.0
96,13.312,24.008,181.71,301.2172,3505.0,3386.0,3541.0,2742.0,2260.0,2145.0,21711.0,17834.0,18439.0,23911.0,20567.0,20207.0
97,14.162,28.195,210.19,452.2784,0.001,2579.0,0.001,0.001,0.001,0.001,2133.0,1919.0,1788.0,61586.0,20790.0,48720.0
98,10.62,19.699,147.37,426.9993,3281.0,3301.0,3064.0,3506.0,2640.0,2374.0,20784.0,16537.0,16058.0,26482.0,20233.0,20714.0
99,15.999,29.985,222.9,497.3665,0.001,0.001,0.001,0.001,10284.0,0.001,0.001,0.001,0.001,46598.0,41136.0,39639.0
100,13.696,26.526,199.05,371.2986,0.001,0.001,0.001,5435.0,5315.0,5726.0,0.001,0.001,0.001,0.001,55004.0,65582.0
101,3.479,16.893,132.03,174.0555,4918.0,4743.0,4614.0,3732.0,3136.0,2740.0,22362.0,16598.0,17858.0,20234.0,17070.0,16641.0
102,13.369,25.373,191.01,342.2655,3073.0,3012.0,2578.0,2692.0,2251.0,2265.0,17159.0,15686.0,15307.0,24411.0,22573.0,22089.0
103,15.066,33.67,249.21,582.3789,6827.0,6821.0,6285.0,6220.0,5384.0,4546.0,15809.0,16333.0,15004.0,15608.0,16556.0,15895.0
104,12.306,23.444,177.56,297.244,0.001,0.001,0.001,999.0,0.001,2857.0,21926.0,17647.0,19141.0,26376.0,21063.0,20907.0
105,12.859,24.488,184.74,325.1839,1976.0,0.001,310.0,8017.0,4805.0,670.0,8144.0,58100.0,11174.0,0.001,36427.0,0.001
