ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 130 B2 7523.d.DeMP
25744,1.887,11.26,90.36,116.9719,-1,1,4,54.0,,False,128.88899999999998
25750,3.808,32.635,241.95,567.2657,-1,1,3,45.0,,False,227.999
25757,0.243,22.245,165.48,478.7884,-1,1,4,88.4,,False,60.999
25766,2.74,24.586,181.95,594.9132,-1,1,3,53.6,,False,90.999
25775,3.703,28.027,209.12,441.3376,-1,1,3,80.5,,False,129.999
25779,3.287,27.537,205.97,406.3409,-1,1,3,97.5,,False,115.999
25785,1.271,30.783,228.21,565.2847,-1,1,3,67.7,,False,219.999
25787,4.237,33.66,248.96,634.4495,-1,1,3,88.2,,False,129.999
25788,0.54,18.054,139.5,195.0687,-1,1,3,67.6,,False,291.44455555555555
25808,3.074,45.347,332.66,1078.7038,-1,2,3,41.3,,False,144.999
25809,0.811,22.863,175.85,213.086,-1,1,3,60.8,,False,195.22233333333332
25814,3.927,34.008,251.66,618.491,-1,1,4,48.7,,False,243.69860020799428
25822,0.882,22.626,171.42,286.213,-1,1,3,86.2,,False,294.999
25846,3.639,28.667,223.23,177.0908,-1,1,3,54.0,,False,193.999
25850,4.466,36.789,271.26,747.8411,-1,1,3,52.4,,False,8.44455555555561
25853,3.558,36.363,268.27,724.0918,-1,1,5,66.7,,False,54.55566666666667
25890,1.128,24.084,181.22,339.2217,-1,1,3,72.2,,False,153.999
25894,2.831,24.96,219.23,59.0123,-1,1,4,98.4,,False,13.777888888888896
25896,0.782,31.617,232.85,786.9276,-1,1,7,72.2,,False,40.56209130926737
25912,1.05,33.287,245.5,731.4055,-1,1,3,98.6,,False,109.999
25927,0.467,21.299,162.15,257.1163,-1,1,3,53.5,,False,309.999
25933,2.081,37.97,279.69,794.4105,-1,2,3,72.0,,False,97.999
25943,4.122,25.415,190.46,381.1787,-1,1,3,81.9,,False,99.66677777777775
25945,2.094,30.79,229.01,496.3388,-1,1,3,44.8,,False,87.999
25952,4.59,29.732,220.66,538.2259,-1,1,3,64.2,,False,183.999
25962,4.174,37.206,274.34,751.9793,-1,1,4,47.1,,False,67.999
25965,2.061,20.969,160.11,242.1781,-1,1,4,88.1,,False,172.999
25978,1.832,27.093,202.53,413.292,-1,1,3,43.9,,False,145.22233333333332
25981,3.548,30.565,227.62,473.9588,-1,1,3,59.2,,False,283.999
25984,0.633,25.29,194.57,213.088,-1,1,4,72.9,,False,62.111222222222224
25996,3.69,31.32,233.0,493.7414,-1,1,4,71.7,,False,115.999
26019,0.519,29.044,214.76,630.967,-1,1,4,49.7,,False,155.55566666666664
26025,1.924,40.735,328.35,116.9741,-1,1,5,78.3,,False,149.88899999999998
26034,1.732,26.482,197.89,417.2354,-1,1,4,62.9,,False,106.999
26035,0.387,32.507,239.84,715.0418,-1,1,4,84.5,,False,80.999
26048,1.196,23.621,193.27,99.957,-1,1,5,77.4,,False,99.11122222222222
26055,0.801,30.348,223.56,772.836,-1,1,5,72.3,,False,66.999
26059,0.383,25.202,197.24,164.0713,-1,1,3,98.0,,False,148.999
26060,3.317,33.024,244.4,616.3677,-1,1,3,79.4,,False,83.00011111111112
26063,4.445,37.393,275.6,767.2868,-1,2,4,76.8,,False,94.44455555555558
26069,3.711,37.714,278.34,716.5486,-1,2,3,97.4,,False,232.999
26080,4.148,37.706,277.88,773.1335,-1,1,4,50.2,,False,154.999
26087,0.426,33.266,245.86,655.342,-1,1,3,98.2,,False,146.999
26097,4.287,37.543,276.67,773.2864,-1,1,3,41.2,,False,111.999
26107,2.338,15.897,121.34,238.8931,-1,1,3,77.9,,False,99.55566666666667
26114,0.456,25.331,187.63,574.8347,-1,1,4,78.8,,False,131.77788888888887
26120,0.397,49.263,409.12,89.0242,-1,1,3,83.0,,False,174.999
26127,0.878,18.262,138.79,262.9041,-1,1,5,62.3,,False,23.444555555555553
26136,1.562,16.342,128.31,154.0634,-1,1,4,85.0,,False,191.999
26143,1.289,25.428,190.35,394.1361,-1,1,3,94.5,,False,219.999
26152,1.408,15.592,128.12,94.925,-1,1,4,44.9,,False,119.999
26156,0.865,29.745,219.52,698.9046,-1,1,3,61.3,,False,131.999
26160,1.033,23.837,179.02,357.0339,-1,1,3,81.8,,False,69.999
26163,0.324,20.494,156.79,232.8873,-1,1,3,97.9,,False,144.999
26169,0.257,24.398,196.13,118.9677,-1,1,3,35.3,,False,86.999
26172,0.726,10.828,94.02,61.9875,-1,1,4,81.9,,False,8.00011111111111
26174,2.487,29.184,216.98,501.2071,-1,1,3,48.9,,False,201.999
26184,0.882,27.977,220.05,154.0617,-1,1,3,51.7,,False,204.999
26199,0.464,31.224,243.0,179.0549,-1,1,3,98.5,,False,117.999
26205,0.964,23.483,188.02,124.0046,-1,1,4,98.8,,False,167.999
26207,3.822,23.275,177.23,257.2406,-1,1,3,86.3,,False,220.999
26211,1.784,10.846,89.17,92.9287,-1,1,3,66.2,,False,52.999
26214,4.139,17.24,132.55,210.9995,-1,1,3,48.9,,False,96.999
26215,0.536,54.715,451.07,94.929,-1,1,3,63.6,,False,116.999
26227,1.587,33.705,249.15,650.3648,-1,1,3,78.5,,False,86.999
26254,0.526,30.128,222.15,730.9087,-1,1,3,92.6,,False,149.999
26256,0.252,28.363,215.79,264.9891,-1,1,4,90.1,,False,164.999
26264,4.12,33.752,250.0,593.1522,-1,1,4,46.0,,False,92.999
26267,1.336,29.953,223.75,427.216,-1,1,3,50.2,,False,154.999
26268,3.24,34.648,255.91,680.4055,-1,1,3,53.6,,False,188.999
26273,2.192,38.197,281.2,823.4609,-1,2,3,51.1,,False,253.999
26274,2.824,16.784,131.12,165.042,-1,1,3,73.7,,False,130.44455555555555
26284,4.118,44.358,325.77,985.757,-1,1,5,69.0,,False,31.222333333333324
26287,4.04,33.53,248.36,591.5935,-1,2,3,47.5,,False,93.999
26290,1.231,33.235,259.95,167.0218,-1,1,3,41.2,,False,179.999
26294,3.919,37.143,273.77,764.2802,-1,1,3,70.3,,False,121.999
26296,3.875,37.073,273.41,743.9197,-1,1,3,57.8,,False,245.999
26310,2.737,42.582,316.83,501.2871,-1,1,4,76.3,,False,189.999
26311,0.958,17.085,130.9,223.9405,-1,1,3,97.3,,False,181.999
26312,4.421,30.217,224.22,543.2465,-1,1,3,56.1,,False,44.88900000000001
26321,1.865,16.001,128.64,116.9741,-1,1,5,74.0,,False,82.09182511824002
26327,1.467,22.791,176.34,193.1612,-1,1,3,92.7,,False,83.66677777777775
26330,1.251,25.506,191.01,389.1394,-1,1,3,94.0,,False,172.999
26335,1.632,57.573,464.27,116.9766,-1,1,3,73.3,,False,139.999
26340,0.849,25.03,205.54,96.9223,-1,1,4,58.7,,False,142.999
26343,4.111,45.724,335.52,1048.8418,-1,3,3,58.8,,False,230.999
26347,1.786,5.96,46.77,141.0181,-1,1,5,70.1,,False,17.555666666666667
26355,3.755,39.529,291.33,772.6029,-1,1,4,64.9,,False,58.44455555555558
26356,1.194,23.116,174.36,318.1382,-1,1,3,78.9,,False,164.999
26373,0.706,21.647,166.95,203.0567,-1,1,3,74.7,,False,183.999
26375,2.615,34.181,252.57,666.3559,-1,1,3,44.8,,False,83.999
26376,3.253,35.415,261.83,651.4869,-1,1,4,65.0,,False,9.333444444444439
26401,2.79,33.391,247.33,591.3959,-1,1,3,63.7,,False,179.999
26406,1.409,26.305,194.69,598.8479,-1,1,3,78.3,,False,159.999
26407,0.684,24.241,180.39,476.9128,-1,1,3,65.1,,False,194.999
26427,1.918,29.603,219.96,515.2485,-1,1,3,52.1,,False,143.999
26434,1.639,47.335,375.3,141.019,-1,1,4,81.7,,False,49.55566666666667
26438,1.991,26.641,199.29,404.2531,-1,1,3,82.6,,False,217.999
26444,4.239,28.526,212.75,447.3765,-1,1,3,55.6,,False,229.59026515376473
26454,1.013,26.804,198.98,528.9595,-1,1,5,62.5,,False,114.999
26459,3.626,39.555,291.33,807.5733,-1,1,3,56.1,,False,194.999
26464,1.391,8.758,71.9,92.9291,-1,1,4,97.5,,False,172.85272927101252
26466,1.65,7.698,60.58,141.0162,-1,1,3,99.8,,False,196.999
26471,2.178,58.008,441.86,265.1522,-1,1,3,69.5,,False,282.2223333333333
26484,0.788,23.526,176.77,352.2057,-1,1,3,86.2,,False,95.999
26488,0.438,19.663,150.51,230.0642,-1,1,3,56.7,,False,104.999
26492,1.929,32.692,242.0,607.3532,-1,2,3,98.6,,False,140.999
26500,0.246,7.346,58.31,126.9998,-1,1,4,97.4,,False,119.22233333333332
26506,3.491,34.923,258.02,670.4892,-1,1,4,43.7,,False,84.88899999999998
26509,2.382,21.381,163.03,249.1141,-1,1,4,89.5,,False,85.999
26524,1.633,24.178,181.81,345.206,-1,1,3,50.9,,False,272.999
26525,0.924,23.455,174.54,474.861,-1,1,3,84.6,,False,154.999
26527,4.303,36.518,269.33,738.8201,-1,1,4,57.3,,False,37.2292228098008
26539,1.474,29.211,217.92,445.3004,-1,1,3,45.1,,False,118.999
26546,1.487,25.632,190.28,526.886,-1,1,4,63.4,,False,111.999
26552,3.048,45.032,330.37,1062.7245,-1,1,3,66.3,,False,124.999
26559,1.024,40.61,317.76,167.0214,-1,1,3,97.2,,False,108.999
26560,3.718,27.528,205.97,401.3482,-1,1,3,74.3,,False,167.33344444444447
26566,3.566,37.502,276.84,707.5538,-1,1,4,82.2,,False,135.999
26573,0.436,58.425,468.63,124.0055,-1,1,6,85.4,,False,3.548701829337517
26575,1.064,14.548,113.47,167.0222,-1,1,3,55.6,,False,202.999
26576,0.409,50.023,388.22,189.0085,-1,1,3,85.0,,False,194.999
26588,3.721,38.906,286.77,766.5827,-1,1,4,62.9,,False,76.44455555555558
26591,0.837,46.187,361.48,167.0198,-1,1,3,99.0,,False,72.999
26598,3.939,46.586,341.77,1068.8558,-1,1,3,68.0,,False,59.999
26603,0.423,19.294,148.23,215.0788,-1,2,3,53.0,,False,96.999
26606,0.578,26.647,196.67,686.7881,-1,1,4,66.0,,False,181.999
26614,4.26,36.888,271.98,747.2201,-1,1,3,48.9,,False,98.22233333333332
26621,0.532,12.311,95.19,187.0046,-1,1,3,58.0,,False,120.999
26622,2.346,20.849,159.19,242.1786,-1,1,4,91.7,,False,58.999
26625,0.694,43.195,379.86,59.013,-1,1,5,81.0,,False,113.999
26626,0.496,26.687,198.94,453.1125,-1,1,3,43.5,,False,122.999
26632,0.475,12.947,100.14,187.0057,-1,1,4,82.4,,False,156.688134847841
26645,0.284,32.794,240.4,1086.2233,-1,1,4,98.9,,False,122.999
26650,3.241,34.998,258.34,700.3886,-1,1,3,56.3,,False,131.999
26652,0.628,22.222,168.49,280.8986,-1,1,3,88.6,,False,88.66677777777775
26653,0.296,57.943,447.98,201.0398,-1,1,3,90.8,,False,151.999
26656,0.674,30.796,238.97,187.0049,-1,1,4,87.3,,False,116.999
26669,1.467,24.103,181.29,343.185,-1,1,3,40.2,,False,125.999
26670,0.672,24.767,196.83,135.0285,-1,1,3,52.4,,False,217.999
26676,1.114,11.193,83.65,371.179,-1,1,3,77.2,,False,66.999
26681,2.505,42.947,315.22,1028.5278,-1,1,3,61.7,,False,84.999
26689,0.471,30.587,225.17,802.8186,-1,1,4,56.3,,False,69.11122222222222
26700,3.572,35.678,263.61,669.472,-1,1,3,38.9,,False,136.999
26703,0.352,29.359,217.99,529.1764,-1,1,3,87.3,,False,159.999
26704,0.529,21.863,170.37,173.1048,-1,1,3,44.8,,False,162.999
26737,3.651,39.715,292.48,808.5817,-1,1,3,81.6,,False,110.999
26749,1.394,33.298,246.27,636.3475,-1,1,3,46.3,,False,150.999
26750,0.403,35.918,263.7,984.9283,-1,1,3,88.1,,False,127.999
26752,0.419,19.451,147.87,262.9881,-1,1,3,76.8,,False,99.999
26765,3.678,31.845,236.59,519.5774,-1,4,3,70.0,,False,147.999
26771,1.748,17.796,138.42,176.0847,-1,1,3,83.5,,False,144.66677777777778
26776,1.529,12.688,100.85,130.9312,-1,1,3,85.4,,False,79.7778888888889
26790,4.41,36.379,268.38,725.8107,-1,1,3,44.0,,False,180.55566666666667
26792,0.703,50.513,397.77,154.0608,-1,1,4,67.3,,False,51.999
26809,3.636,34.212,253.42,592.572,-1,1,3,80.6,,False,138.999
26813,0.778,9.399,74.91,124.0034,-1,1,3,97.8,,False,173.999
26816,3.51,32.247,239.34,539.997,-1,1,3,78.9,,False,79.999
26819,0.892,3.469,29.92,59.0142,-1,1,3,62.3,,False,275.999
26828,0.619,12.919,106.31,92.9294,-1,1,3,41.1,,False,93.999
26830,4.124,46.657,342.19,1093.8736,-1,2,3,59.2,,False,186.999
26832,3.254,35.604,262.97,681.5017,-1,1,3,83.3,,False,146.999
26838,1.612,18.039,139.07,202.0289,-1,1,3,86.3,,False,70.999
26839,2.008,26.27,196.85,383.2021,-1,1,4,89.2,,False,98.999
26846,3.63,34.043,251.68,649.4242,-1,2,3,48.2,,False,99.55566666666667
26859,4.616,33.066,245.07,576.098,-1,1,4,57.3,,False,116.999
26865,1.632,24.86,186.8,352.9454,-1,1,3,74.4,,False,156.999
26866,0.281,25.281,187.38,560.596,-1,1,3,88.7,,False,79.999
26872,2.502,34.685,256.4,651.4612,-1,1,3,91.9,,False,12.444555555555553
26903,1.113,21.184,161.39,253.1465,-1,1,3,75.2,,False,96.999
26906,3.436,29.07,216.78,451.4136,-1,1,4,56.3,,False,15.777888888888896
26913,4.327,40.042,294.71,840.9895,-1,2,3,80.1,,False,211.999
26917,0.74,22.523,167.75,458.8307,-1,1,4,87.8,,False,26.111222222222224
26923,3.983,36.377,268.38,724.815,-1,1,4,79.6,,False,95.66677777777778
26929,4.315,41.579,305.61,926.5922,-1,1,3,66.1,,False,133.999
26931,1.159,17.347,133.6,204.9682,-1,1,3,87.8,,False,118.999
26939,1.485,31.081,230.45,564.3191,-1,2,3,63.6,,False,198.999
26942,0.309,22.338,169.06,292.8451,-1,1,3,82.7,,False,82.999
26949,3.713,35.958,265.36,715.2123,-1,2,3,52.9,,False,88.999
26951,2.191,25.509,192.16,331.2284,-1,1,3,69.7,,False,132.999
26976,3.623,46.386,340.28,1073.8441,-1,1,3,70.7,,False,189.999
26983,4.367,40.063,294.86,840.9457,-1,3,3,53.2,,False,121.88900000000001
