ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 2286-17.d.DeMP
2534,15.243,39.776,291.85,824.5513,-1,4,12,100.0,,False,648.8513244085706
2540,15.637,39.887,292.4,861.5548,-1,3,18,100.0,,False,92.20317417796204
2559,16.111,37.241,273.7,751.4558,-1,2,37,99.2,,False,128.54483776049307
2564,14.396,22.12,165.92,349.0552,-1,3,20,52.5,,False,330.999
2594,14.55,21.512,161.93,319.0638,-1,3,23,63.1,,False,270.999
2595,15.243,34.787,302.45,61.9941,-1,1,29,98.5,,False,149.999
2596,13.486,17.577,134.84,215.0425,-1,1,24,44.5,,False,280.999
2622,16.325,42.764,313.0,946.5865,-1,3,39,85.4,,False,20.285851634414826
2634,15.17,22.662,171.92,267.233,-1,1,48,92.4,,False,0.5463889872495429
2641,15.172,23.027,173.87,293.177,-1,2,20,77.1,,False,148.999
2654,15.157,40.862,299.44,886.563,-1,3,31,93.7,,False,163.28964148624522
2655,15.699,37.27,273.87,750.4867,-1,3,33,99.4,,False,346.8826267889732
2666,15.144,27.954,208.39,417.321,-1,2,36,100.0,,False,61.77134863859652
2699,8.188,23.745,181.84,221.1547,-1,1,52,99.8,,False,98.69676154913975
2715,11.799,21.019,161.09,218.029,-1,2,34,89.4,,False,111.20423239505408
2719,13.952,27.321,203.34,440.2688,-1,1,17,99.5,,False,86.12820193518274
2721,15.335,18.406,140.67,232.0461,-1,1,11,49.0,,False,239.4096978356672
2727,13.581,20.568,160.01,173.0286,-1,1,27,50.5,,False,20.001928661825104
2736,16.217,38.176,280.36,778.5174,-1,3,32,90.7,,False,54.62410288277238
2745,15.451,18.391,140.58,231.0501,-1,1,16,48.2,,False,395.999
2750,11.807,21.377,163.11,237.1877,-1,2,13,100.0,,False,115.999
2756,16.195,20.585,155.61,288.0333,-1,1,15,46.8,,False,376.999
2781,0.394,26.407,218.45,89.0271,-1,1,19,99.8,,False,258.52050678059595
2790,15.855,27.258,203.73,383.3535,-1,2,41,97.1,,False,83.84342088273718
2791,14.811,27.036,202.03,389.2904,-1,3,22,100.0,,False,65.999
2805,14.084,26.778,200.04,390.2684,-1,1,42,99.3,,False,41.743537898115164
2809,0.389,27.682,215.52,171.0281,-1,2,12,76.1,,False,545.999
2813,15.066,30.247,224.15,515.2156,-1,3,26,100.0,,False,6.1153766775381655
2822,11.361,24.005,180.71,319.2282,-1,2,13,100.0,,False,63.999
2827,12.135,20.806,158.86,234.1493,-1,1,28,99.7,,False,25.508341290647422
