SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
NIST SRM-1957 8.d.DeMP,75.0,Cl0_Br1,0.01660498891768711,-0.005039734709096326,-0.01660498883270955,1.02,6.325,17.9363307952881,136.621376547724,245.90926,244.90591,320.0
NIST SRM-1957 8.d.DeMP,75.0,Cl0_Br1,0.01660498891768711,-0.005039734709096326,-0.01660498883270955,1.02,6.325,17.9363307952881,136.621376547724,246.90276,244.90591,3953.0
NIST SRM-1957 8.d.DeMP,75.0,Cl0_Br1,0.01660498891768711,-0.005039734709096326,-0.01660498883270955,1.02,6.325,17.9363307952881,136.621376547724,247.90586,244.90591,313.0
NIST SRM-1957 8.d.DeMP,75.0,Cl0_Br1,0.01660498891768711,-0.005039734709096326,-0.01660498883270955,1.02,6.325,17.9363307952881,136.621376547724,248.89954,244.90591,1196.0
NIST SRM-1957 8.d.DeMP,75.0,Cl0_Br1,0.01660498891768711,-0.005039734709096326,-0.01660498883270955,1.02,6.325,17.9363307952881,136.621376547724,249.90168,244.90591,101.0
NIST SRM-1957 8.d.DeMP,101.0,No,0.00674334050251284,0.0071281953219661034,0.006743340083900909,2.42,9.467,18.6422100067139,139.499329601338,368.97161,368.97161,2760.0
NIST SRM-1957 8.d.DeMP,101.0,No,0.00674334050251284,0.0071281953219661034,0.006743340083900909,2.42,9.467,18.6422100067139,139.499329601338,369.97397,368.97161,159.0
NIST SRM-1957 9.d.DeMP,12.0,No,0.001130474146805645,0.0067767126889526,0.0011304718899413785,2.38,10.389,22.7242374420166,168.324603378852,498.92438,498.92438,17656.0
NIST SRM-1957 9.d.DeMP,12.0,No,0.001130474146805645,0.0067767126889526,0.0011304718899413785,2.38,10.389,22.7242374420166,168.324603378852,499.92534,498.92438,1396.0
NIST SRM-1957 9.d.DeMP,12.0,No,0.001130474146805645,0.0067767126889526,0.0011304718899413785,2.38,10.389,22.7242374420166,168.324603378852,500.92054,498.92438,774.0
NIST SRM-1957 9.d.DeMP,39.0,No,0.002988607086611257,0.010982621976824767,0.0029886048444290256,2.5,8.453,20.1985759735107,150.686736481782,398.932,398.932,7313.0
NIST SRM-1957 9.d.DeMP,39.0,No,0.002988607086611257,0.010982621976824767,0.0029886048444290256,2.5,8.453,20.1985759735107,150.686736481782,399.93437,398.932,392.0
NIST SRM-1957 9.d.DeMP,39.0,No,0.002988607086611257,0.010982621976824767,0.0029886048444290256,2.5,8.453,20.1985759735107,150.686736481782,400.93393,398.932,543.0
NIST SRM-1957 9.d.DeMP,40.0,No,0.0001585546367957937,0.005545412603875268,0.0001585438614544769,2.23,10.137,22.3527336120605,165.584037449029,498.92461,498.92461,7154.0
NIST SRM-1957 9.d.DeMP,40.0,No,0.0001585546367957937,0.005545412603875268,0.0001585438614544769,2.23,10.137,22.3527336120605,165.584037449029,499.92583,498.92461,597.0
NIST SRM-1957 9.d.DeMP,40.0,No,0.0001585546367957937,0.005545412603875268,0.0001585438614544769,2.23,10.137,22.3527336120605,165.584037449029,500.92017,498.92461,266.0
NIST SRM-1957 9.d.DeMP,74.0,Cl0_Br1,0.01664367822678567,-0.004888619682875942,-0.01664367814701363,1.06,6.312,17.9436054229736,136.676511556746,244.90552,244.90552,3482.0
NIST SRM-1957 9.d.DeMP,74.0,Cl0_Br1,0.01664367822678567,-0.004888619682875942,-0.01664367814701363,1.06,6.312,17.9436054229736,136.676511556746,245.90776,244.90552,269.0
NIST SRM-1957 9.d.DeMP,74.0,Cl0_Br1,0.01664367822678567,-0.004888619682875942,-0.01664367814701363,1.06,6.312,17.9436054229736,136.676511556746,246.90259,244.90552,3400.0
NIST SRM-1957 9.d.DeMP,74.0,Cl0_Br1,0.01664367822678567,-0.004888619682875942,-0.01664367814701363,1.06,6.312,17.9436054229736,136.676511556746,247.9059,244.90552,317.0
NIST SRM-1957 9.d.DeMP,74.0,Cl0_Br1,0.01664367822678567,-0.004888619682875942,-0.01664367814701363,1.06,6.312,17.9436054229736,136.676511556746,248.89933,244.90552,947.0
NIST SRM-1957 9.d.DeMP,101.0,No,0.006969185902495302,0.007379636948538143,0.006969185468369646,2.17,9.453,18.6350555419922,139.446062171528,368.97143,368.97143,2719.0
NIST SRM-1957 9.d.DeMP,101.0,No,0.006969185902495302,0.007379636948538143,0.006969185468369646,2.17,9.453,18.6350555419922,139.446062171528,369.97266,368.97143,155.0
