Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 38 2182 - Serum.d.DeMP, 41 2187 - Serum.d.DeMP, 44 2854 - Serum.d.DeMP, 47 2911 - Serum.d.DeMP, 125 1777 - Serum.d.DeMP, 128 1821 - Serum.d.DeMP, 131 1673 - Serum.d.DeMP, 134 1894 - Serum.d.DeMP, 137 3330 - Serum.d.DeMP, 80 2003 - Serum.d.DeMP, 83 2095 - Serum.d.DeMP, 86 2046 - Serum.d.DeMP, 89 2889 - Serum.d.DeMP, 92 3021 - Serum.d.DeMP
No Match,None,unmatched,3719,5.085,19.393,147.34,286.1145,,,,0,0,0,0,274.999,0,0,0,144.999,254.999,0,173.999,0,256.999,0
No Match,None,unmatched,2242,3.126,19.407,147.34,294.1114,,,,129.999,0,367.999,199.999,444.999,75.999,255.999,426.999,0,379.999,0,186.999,181.999,0,0
No Match,None,unmatched,4170,7.2945,18.943,143.78,295.10955,,,,173.999,0,350.999,271.999,0,62.999,0,0,92.999,79.999,0,125.999,202.999,382.999,122.999
No Match,None,unmatched,5262,3.667,20.492,155.41,302.9733,,,,0,0,0,108.999,204.999,0,0,0,0,98.999,0,108.999,0,0,0
No Match,None,unmatched,5776,3.677,20.503,155.38,304.9716,,,,0,0,0,0,169.999,125.999,122.999,0,0,0,0,0,0,0,0
No Match,None,unmatched,2298,6.668,19.488,147.61,308.9731,,,,170.999,0,192.999,177.999,187.999,233.999,209.999,279.999,172.999,180.999,153.999,200.999,0,215.999,182.999
No Match,None,unmatched,3726,5.318,19.744,149.27,317.0711,,,,0,0,0,0,0,0,220.999,172.999,177.999,170.999,0,158.999,0,198.999,0
No Match,None,unmatched,6351,4.831,19.897,150.41,318.0441,,,,0,0,0,0,0,0,105.999,0,0,0,0,0,0,109.999,109.999
No Match,None,unmatched,6557,6.873,19.605,148.14,326.9641,,,,77.999,0,0,0,0,0,0,0,0,92.999,0,74.999,0,0,55.999
No Match,None,unmatched,6079,8.433,20.12,150.87,402.071,,,,65.999,0,0,0,0,81.999,0,0,0,101.999,0,0,54.999,62.999,0
No Match,None,unmatched,6737,9.433,20.707,154.95,430.9848,,,,0,0,69.999,0,0,0,71.999,0,0,87.999,0,0,50.999,0,0
No Match,None,unmatched,792,10.951,23.773,177.66,450.9247,,,,151.999,0,0,4454.999,0,3126.999,0,0,0,72.999,177.999,2973.999,0,0,0
No Match,None,unmatched,752,11.045,20.852,155.69,468.9678,,,,0,460.7549931,557.7549931,922.7549931,260.7549931,559.7549931,433.7549931,666.7549931,81.75499315,74.75499315,291.7549931,876.7549931,1014.754993,35.75499315,0
No Match,None,unmatched,3799,11.462,22.836,170.13,504.966,,,,0,106.999,87.999,119.999,0,156.999,92.999,157.999,101.999,0,0,0,111.999,0,118.999
No Match,None,unmatched,3968,11.46,22.841,170.05,507.9666,,,,0,0,0,0,96.999,158.999,123.999,0,113.999,133.999,101.999,134.999,110.999,0,0
No Match,None,unmatched,2716,11.68,22.026,163.99,518.9655,,,,0,144.999,113.999,408.999,0,176.999,159.999,244.999,0,116.999,0,182.999,395.999,0,0
No Match,None,unmatched,5767,12.228,23.205,172.36,568.9618,,,,0,0,0,151.999,0,0,0,0,0,168.999,0,0,0,0,98.999
No Match,None,unmatched,676,14.013,29.5225,217.115,944.93895,,,,0,0,0,0,0,0,0,51.999,0,0,0,65.999,0,0,87.999
