SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,RT,DT,CCS,Peak_mz,m/z,Peak_intensity
41 2187 - Serum.d.DeMP,19.0,Cl3_Br0,0.016120201630699476,-0.003711848118303399,-0.016120201583216556,1.13,6.382,17.8609657287598,136.77685546875,250.89798,244.90799,421.0
41 2187 - Serum.d.DeMP,51.0,No,0.0006583044338742739,0.0035045245604914516,-0.0006583033973982209,2.1,10.029,22.1778259277344,165.274383544922,498.9316,498.9316,41776.0
41 2187 - Serum.d.DeMP,51.0,No,0.0006583044338742739,0.0035045245604914516,-0.0006583033973982209,2.1,10.029,22.1778259277344,165.274383544922,499.93378,498.9316,3839.0
41 2187 - Serum.d.DeMP,51.0,No,0.0006583044338742739,0.0035045245604914516,-0.0006583033973982209,2.1,10.029,22.1778259277344,165.274383544922,500.92781,498.9316,1878.0
41 2187 - Serum.d.DeMP,51.0,No,0.0006583044338742739,0.0035045245604914516,-0.0006583033973982209,2.1,10.029,22.1778259277344,165.274383544922,501.92839,498.9316,122.0
41 2187 - Serum.d.DeMP,260.0,No,0.002750121709773841,0.00837666276955476,0.0027501202922911774,2.58,9.464,21.3678436279297,159.737197875977,448.93385,448.93385,4925.0
41 2187 - Serum.d.DeMP,260.0,No,0.002750121709773841,0.00837666276955476,0.0027501202922911774,2.58,9.464,21.3678436279297,159.737197875977,449.93592,448.93385,328.0
41 2187 - Serum.d.DeMP,260.0,No,0.002750121709773841,0.00837666276955476,0.0027501202922911774,2.58,9.464,21.3678436279297,159.737197875977,450.92942,448.93385,179.0
41 2187 - Serum.d.DeMP,396.0,Cl2_Br0,0.01247715037678114,-0.004360650744408319,-0.012477150292114037,1.06,5.914,17.052677154541,131.322280883789,220.93935,220.93935,1784.0
41 2187 - Serum.d.DeMP,396.0,Cl2_Br0,0.01247715037678114,-0.004360650744408319,-0.012477150292114037,1.06,5.914,17.052677154541,131.322280883789,221.94316,220.93935,119.0
41 2187 - Serum.d.DeMP,396.0,Cl2_Br0,0.01247715037678114,-0.004360650744408319,-0.012477150292114037,1.06,5.914,17.052677154541,131.322280883789,222.93636,220.93935,1124.0
41 2187 - Serum.d.DeMP,396.0,Cl2_Br0,0.01247715037678114,-0.004360650744408319,-0.012477150292114037,1.06,5.914,17.052677154541,131.322280883789,223.93948,220.93935,57.0
41 2187 - Serum.d.DeMP,396.0,Cl2_Br0,0.01247715037678114,-0.004360650744408319,-0.012477150292114037,1.06,5.914,17.052677154541,131.322280883789,224.93383,220.93935,183.0
41 2187 - Serum.d.DeMP,1244.0,Cl2_Br0,0.013693002980854442,-0.0074734401399857075,-0.013693002754249218,0.85,5.572,16.7997741699219,129.944869995117,204.94501,204.94501,990.0
41 2187 - Serum.d.DeMP,1244.0,Cl2_Br0,0.013693002980854442,-0.0074734401399857075,-0.013693002754249218,0.85,5.572,16.7997741699219,129.944869995117,205.94897,204.94501,82.0
41 2187 - Serum.d.DeMP,1244.0,Cl2_Br0,0.013693002980854442,-0.0074734401399857075,-0.013693002754249218,0.85,5.572,16.7997741699219,129.944869995117,206.94243,204.94501,742.0
44 2854 - Serum.d.DeMP,19.0,Cl0_Br1,0.01636827974471076,-0.005381874200696919,-0.016368279646402153,1.02,6.382,17.8609657287598,136.77685546875,244.90791,244.90791,126897.0
44 2854 - Serum.d.DeMP,19.0,Cl0_Br1,0.01636827974471076,-0.005381874200696919,-0.016368279646402153,1.02,6.382,17.8609657287598,136.77685546875,245.91063,244.90791,10232.0
44 2854 - Serum.d.DeMP,19.0,Cl0_Br1,0.01636827974471076,-0.005381874200696919,-0.016368279646402153,1.02,6.382,17.8609657287598,136.77685546875,246.90495,244.90791,123477.0
44 2854 - Serum.d.DeMP,19.0,Cl0_Br1,0.01636827974471076,-0.005381874200696919,-0.016368279646402153,1.02,6.382,17.8609657287598,136.77685546875,247.90787,244.90791,10034.0
44 2854 - Serum.d.DeMP,19.0,Cl0_Br1,0.01636827974471076,-0.005381874200696919,-0.016368279646402153,1.02,6.382,17.8609657287598,136.77685546875,248.90191,244.90791,38500.0
44 2854 - Serum.d.DeMP,19.0,Cl0_Br1,0.01636827974471076,-0.005381874200696919,-0.016368279646402153,1.02,6.382,17.8609657287598,136.77685546875,249.90431,244.90791,3212.0
44 2854 - Serum.d.DeMP,19.0,Cl0_Br1,0.01636827974471076,-0.005381874200696919,-0.016368279646402153,1.02,6.382,17.8609657287598,136.77685546875,250.8986,244.90791,3848.0
