ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 41 B1 218.d.DeMP
29751,0.268,36.214,264.89,1320.0516,-1,1,6,96.9,,FALSE,160.999
29762,1.078,32.193,265.78,92.9278,-1,1,6,98.8,,FALSE,150.999
29765,3.431,33.034,245.34,529.3554,-1,2,4,99.6,,FALSE,188.999
29775,0.599,26.638,197.13,600.8721,-1,1,5,95.3,,FALSE,208.999
29785,1.468,28.901,215.09,483.1538,-1,1,5,62.3,,FALSE,4.666777777777725
29790,1.606,20.976,166.01,141.015,-1,1,3,42.4,,FALSE,247.999
29796,2.314,32.07,237.6,584.3969,-1,1,5,70,,FALSE,173.999
29800,0.456,22.363,170.5,250.1248,-1,1,3,75.3,,FALSE,351.999
29801,0.332,25.474,188.51,598.7292,-1,1,6,97.8,,FALSE,193.999
29815,3.235,38.464,284.08,685.5376,-1,1,6,85.8,,FALSE,184.999
29817,0.763,14.748,112.78,229.0543,-1,1,3,83.7,,FALSE,613.999
29860,3.577,40.579,308.12,280.2372,-1,1,4,96.5,,FALSE,140.999
29865,1.532,18.236,140.6,202.0262,-1,1,6,97.2,,FALSE,121.999
29873,1.73,23.7,176.61,452.9583,-1,1,5,71.2,,FALSE,111.999
29875,2.544,33.447,248.87,491.2882,-1,1,4,73.4,,FALSE,317.999
29878,4.058,37.356,275.42,751.8877,-1,1,4,46.8,,FALSE,104.999
29882,4.075,36.436,268.69,739.3935,-1,2,5,76.5,,FALSE,262.999
29892,2.466,27.713,207.09,419.2818,-1,1,6,92.8,,FALSE,174.999
29896,0.654,20.215,155.5,211.1327,-1,1,5,93.3,,FALSE,146.999
29897,0.332,26.413,195.49,596.8141,-1,1,7,96.7,,FALSE,122.999
29900,2.98,39.763,292.91,795.5994,-1,1,5,79.9,,FALSE,132.999
29907,4.15,40.548,298.73,790.5455,-1,1,8,98.8,,FALSE,3.155997423
29909,1.088,39.696,319.94,116.9749,-1,1,4,86.1,,FALSE,249.999
29911,3.58,30.711,227.84,547.2255,-1,1,3,97.1,,FALSE,205.999
29914,2.094,23.837,180.04,308.2263,-1,1,3,86.6,,FALSE,258.999
29946,3.24,32.039,238.11,513.0388,-1,1,4,57.8,,FALSE,189.999
29947,0.944,8.821,70.57,118.972,-1,1,4,96.9,,FALSE,155.999
29950,3.886,35.69,263.28,731.3402,-1,4,4,70.8,,FALSE,141.999
29962,1.978,32.072,237.52,595.2745,-1,1,3,84.4,,FALSE,147.999
