ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
110,14.994,37.107,303.12,746.5161,17178,-1,5,2,100,x,FALSE,14.994,37.107,303.12,746.5161,17178,1.01,2,,,,,0,,0,,,,,16,up,84.009,0.001,17007,34528,0.001,0.001,0.001
111,2.651,19.079,176.89,230.9961,17138,-1,4,3,100,x,FALSE,2.651,19.079,176.89,230.9961,17138,1.29,3,,,,,0,,0,,,,,16,up,74.916,5932,2856,42625,0.001,0.001,0.001
112,9.036,27.645,236.98,399.2211,17084,-1,4,3,100,x,FALSE,9.036,27.645,236.98,399.2211,17084,0.87,3,,,,,0,,0,,,,,16,up,88.3,2262,31951,17040,0.001,0.001,0.001
113,12.424,24.035,212.47,291.1995,17083,-1,4,3,98.7,,FALSE,12.424,24.035,212.47,291.1995,17083,0.31,3,,,,,0,,0,,,,,16,up,99.471,11086,21444,18718,0.001,0.001,0.001
114,14.241,33.768,279.79,593.4797,17065,-1,2,3,91.5,x,FALSE,14.241,33.768,279.79,593.4797,17065,1.22,3,,,,,0,,0,,,,,16,up,77.077,40627,1015,9552,0.001,0.001,0.001
115,6.905,26.338,227.79,369.1739,17064,-1,4,3,100,x,FALSE,6.905,26.338,227.79,369.1739,17064,0.61,3,,,,,0,,0,,,,,16,up,95.245,29099,10169,11924,0.001,0.001,0.001
116,12.946,27.755,236.81,457.2363,17030,-1,3,3,100,x,FALSE,12.946,27.755,236.81,457.2363,17030,0.51,3,,,,,0,,0,,,,,16,up,97.24,15867,26262,8962,0.001,0.001,0.001
117,15.251,36.874,301.45,740.5257,16894,-1,5,3,100,x,FALSE,15.251,36.874,301.45,740.5257,16894,0.52,3,,,,,0,,0,,,,,16,up,97.065,7421,18418,24844,0.001,0.001,0.001
118,1.001,19.36,179.08,230.012,16873,-1,4,1,100,x,FALSE,1.001,19.36,179.08,230.012,16873,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,50620,0.001,0.001,0.001,0.001
119,0.928,22.795,202.53,310.0496,16716,-1,4,1,100,x,FALSE,0.928,22.795,202.53,310.0496,16716,1.73,1,,,,,0,,0,,,,,16,up,62.61,0.001,50147,0.001,0.001,0.001,0.001
120,13.865,32.405,269.63,599.322,16647,-1,4,3,100,x,FALSE,13.865,32.405,269.63,599.322,16647,1.09,3,,,,,0,,0,,,,,16,up,81.436,37462,7385,5095,0.001,0.001,0.001
