ID,RT,DT,CCS,m/z,Abundance,RSD, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
140,12.182,23.209,175.49,309.1738,6708,1.19,2017,1234,1265,2679,276,4354,7216,8217,16550,6805,27547,2335,0,0,0
141,13.526,21.622,165.46,241.2177,6594,0.51,4337,3540,3718,3984,2876,3150,8807,7544,7788,12300,10700,10384,0,0,0
142,15.326,24.445,184.74,311.2953,6538,0.86,1673,1448,0.001,1618,1256,1301,11781,11673,10116,14087,12034,11471,0,0,0
143,14.881,28.268,211.32,413.3454,6513,1.36,0.001,0.001,0.001,5436,5623,5501,0.001,0.001,0.001,23409,21121,17068,0,0,0
144,15.658,27.855,208.27,411.385,6490,1.58,0.001,0.001,0.001,2359,3241,2963,0.001,0.001,0.001,27378,20280,21655,0,0,0
145,3.967,15.717,124.66,144.0457,6390,0.76,2502,2684,2519,3290,2340,2185,9277,5334,5614,15466,12981,12493,0,0,0
146,14.297,32.682,242.21,554.3467,6370,0.52,3520,3748,3350,3355,2950,3053,10741,10504,10037,9334,8517,7329,0,0,0
147,11.754,26.087,193.34,572.9856,6302,0.8,1804,1701,1686,1732,1642,1170,12075,9888,9322,14117,10561,9925,0,0,0
148,14.548,29.115,216.62,483.3503,6292,1.05,0.001,0.001,0.001,11029,11683,12376,0.001,0.001,0.001,13154,14340,12927,0,0,0
149,12.674,23.226,172.25,569.9661,6269,0.86,1424,1489,1286,1427,1159,1051,11199,10165,9293,15237,10044,11456,0,0,0
150,14.129,18.972,144.68,262.0369,6267,0.77,9244,10061,8875,10434,7550,6604,10406,0.001,12027,0.001,0.001,0.001,0,0,0
151,16.059,27.794,207.85,409.3506,6237,1.31,0.001,0.001,0.001,6214,5497,5851,148,0.001,0.001,20820,18213,18105,0,0,0
152,14.666,23.184,176.03,281.2494,6135,1.38,0.001,0.001,0.001,0.001,0.001,0.001,8314,7812,0.001,20166,20071,17251,0,0,0
153,13.071,23.438,174.25,514.9798,6132,0.97,500,626,487,534,808,0.001,12599,11039,10568,13700,11155,11563,0,0,0
154,13.711,27.022,202.54,383.3166,6004,1.65,0.001,0.001,0.001,1355,1263,1266,523,491,570,25868,18548,22165,0,0,0
155,15.145,28.797,215.05,426.3643,5967,1.09,0.001,0.001,0.001,9315,10047,9315,0.001,0.001,0.001,15593,13963,13374,0,0,0
156,10.453,27.778,206.64,489.2832,5945,0.68,2359,2138,2208,2312,1941,1783,10696,8453,9554,10609,9259,10030,0,0,0
157,14.043,18.937,144.39,263.034,5941,0.41,2226,6869,6734,7268,6910,7301,7768,7229,7653,0.001,6819,4512,0,0,0
158,6.932,16.391,124.87,272.9956,5770,0.79,1813,1785,1481,1795,1358,1271,11459,8487,8428,12826,9440,9096,0,0,0
159,12.105,26.6,197,589.0129,5705,0.83,1463,1362,1163,1509,1236,932,10327,8813,8356,13099,10252,9948,0,0,0
160,14.4,30.058,223.33,506.326,5688,1.47,0.001,0.001,0.001,0.001,0.001,0.001,4964,2581,3494,15743,19959,21519,0,0,0
161,15.8,37.66,277.16,758.499,5634,1.13,0.001,0.001,0.001,188,187,158,8073,6436,8817,15459,14819,13470,0,0,0
162,15.85,36.115,266.2,702.5456,5578,1.79,0.001,0.001,0.001,0.001,0.001,631,0.001,0.001,207,24346,22852,18897,0,0,0
163,13.368,28.113,209.53,456.2765,5560,0.91,1188,1025,904,1003,713,827,8446,7892,8451,12513,11436,12320,0,0,0
164,13.468,24.085,178.9,531.0079,5522,1.01,297,262,255,308,448,0.001,11651,9643,9813,12759,10137,10694,0,0,0
165,13.924,19.507,149.99,223.0283,5469,0.59,1696,2640,1875,992,5878,4470,8643,5869,5233,8806,9033,10491,0,0,0
166,16.428,35.948,265.97,587.376,5393,1.32,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18696,15540,11465,9307,9707,0,0,0
167,14.47,17.459,134.5,218.0315,5376,1.65,0.001,0.001,0.001,2521,0.001,0.001,23625,23869,5229,6099,0.001,3164,0,0,0
168,15.358,24.784,187.01,323.2948,5369,0.88,1501,1375,1250,1203,0.001,0.001,10640,10129,9129,10592,9770,8836,0,0,0
169,15.971,27.141,203.47,381.3736,5367,1.93,0.001,141,474,0.001,2852,2270,0.001,1873,1659,1289,32052,21797,0,0,0
170,12.901,26.258,197.09,369.3006,5350,0.9,1205,1084,1043,1416,1060,1021,8743,5905,6859,13178,11014,11676,0,0,0
171,0.464,15.367,121.45,151.0256,5346,0.45,4414,4231,4299,2684,2312,2204,9027,8438,8199,6528,5837,5975,0,0,0
172,11.023,23.785,179.73,313.2385,5312,0.93,0.001,0.001,0.001,1733,1330,1393,10892,7741,8364,12110,10197,9988,0,0,0
173,10.835,26.873,201.32,389.2691,5255,0.78,1654,1496,1633,1803,1589,1498,8999,5412,7401,12307,9400,9871,0,0,0
174,14.557,17.423,134.19,219.0279,5210,0.55,7286,2796,2436,0.001,5211,5479,9150,8940,7763,5232,5944,2280,0,0,0
175,14.588,28.565,212.81,462.2985,5179,0.91,922,920,815,647,686,585,8819,7293,9147,11732,10581,10003,0,0,0
176,10.291,21.292,160.66,329.0467,5175,0.93,1272,1315,1164,1007,1416,1914,12265,4413,3684,12755,9428,11463,0,0,0
177,12.424,23.452,177.62,297.2435,5133,0.61,4516,4009,3606,3978,3042,1088,7953,7444,6901,10502,0.001,8557,0,0,0
178,14.544,29.458,218.99,497.3658,5127,1.13,0.001,0.001,0.001,6747,7313,8017,0.001,0.001,0.001,12805,13853,12791,0,0,0
