ID,RT,DT,CCS,m/z,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
150,12.596,23.325,203.1,514.9804,17166,16338,7601,0.001,0.001,0.001
151,15.038,24.399,214.62,311.2955,19014,11677,10155,0.001,0.001,0.001
152,14.828,29.201,248.39,411.3846,31711,6737,2347,0.001,0.001,0.001
153,3.921,18.785,174.97,223.0059,39285,786,252,0.001,0.001,0.001
154,1.481,23.221,196.83,368.9723,4026,12672,23625,0.001,0.001,506
155,15.903,26.736,230.52,381.3736,40205,0.001,0.001,0.001,0.001,0.001
156,11.668,20.698,189.57,225.1855,8220,15126,16598,0.001,0.001,0.001
157,15.981,41.183,332.34,868.6115,0.001,16357,22760,0.001,0.001,0.001
158,13.054,26.347,228.56,339.2,19015,11644,8418,0.001,0.001,0.001
159,2.439,22.325,199.42,294.0548,0.001,38838,0.001,0.001,0.001,0.001
160,13.539,31.806,267.23,445.3332,19909,4003,14767,0.001,0.001,0.001
