Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%),GroupID,Repeating Unit,KMD (CF2)
unmatched,165.06,2.798,327.0642,74507.0,100.0,100.0,17,CF2,-0.08506802734018493
unmatched,142.96333333333334,3.1976666666666667,227.0744666666667,33707.0,100.0,100.0,17,CF2,-0.08895494199200016
unmatched,149.97,4.77,227.0751,42353.0,100.0,100.0,17,CF2,-0.08958831573454518
unmatched,162.58,1.305,277.0704,6006.0,100.0,100.0,17,CF2,-0.08807821939041105
unmatched,226.2133333333333,13.171333333333337,930.9379333333331,53099.0,100.0,100.0,18,CF2,0.002669036951374437
unmatched,254.13,12.868,930.9397,54963.0,100.0,100.0,18,CF2,0.0009022575640074137
unmatched,155.595,12.928,930.9397,92456.0,100.0,100.0,18,CF2,0.0009022575640074137
unmatched,225.94,15.417333333333334,930.9417333333334,23133.0,100.0,100.0,18,CF2,-0.0011312055044072622
unmatched,234.9,15.278636363636366,930.9424545454546,93848.0,100.0,100.0,18,CF2,-0.0018524636417396323
unmatched,173.20000000000002,12.916000000000002,930.9427333333332,1821.0,100.0,100.0,18,CF2,-0.002131269308165429
unmatched,266.55,13.221,980.9306,69581.0,100.0,100.0,18,CF2,0.006812634646053084
unmatched,151.44,13.293,980.9335,58943.0,100.0,100.0,18,CF2,0.003912449614290381
unmatched,242.96,15.927,980.9344,83214.0,100.0,100.0,18,CF2,0.003012392190612445
unmatched,227.86,14.533833333333334,980.9383666666668,44818.0,100.0,100.0,18,CF2,-0.0009545275655682417
unmatched,233.185,14.992,980.9385,54775.0,100.0,100.0,18,CF2,-0.001087869406092068
unmatched,142.66,13.231,980.9387,10359.0,100.0,100.0,18,CF2,-0.0012878821669346507
unmatched,234.485,13.362,980.939,1993.0,100.0,100.0,18,CF2,-0.001587901308084838
tentative,154.76,9.7935,430.9738,3014.0,100.0,100.0,18,CF2,-0.0012978828049199365
tentative,159.58,9.718,430.9742,4354.0,100.0,100.0,18,CF2,-0.0016979083265482586
tentative,159.405,11.8795,430.9743,8167.0,100.0,100.0,18,CF2,-0.00179791470696955
tentative,146.814,9.9362,430.97462,947.0,100.0,100.0,18,CF2,-0.002117935124260839
tentative,146.305,11.8765,430.97495,3622.0,100.0,100.0,18,CF2,-0.0024479561795942573
tentative,145.745,6.207000000000001,430.975,14864.0,100.0,100.0,18,CF2,-0.0024979593698617464
unmatched,146.62,13.56,1030.9304,46069.0,100.0,100.0,18,CF2,0.003822443871968062
unmatched,243.25666666666663,13.741,1030.9347333333333,45839.0,100.0,100.0,18,CF2,-0.0005111659456815687
unmatched,164.035,13.607,1030.93725,15644.0,100.0,100.0,18,CF2,-0.0030279931859240605
unmatched,253.43,15.1065,1030.9386,28136.0,100.0,100.0,18,CF2,-0.004378079321440964
unmatched,189.66,13.6335,630.9532,78639.0,100.0,100.0,18,CF2,0.006542617418972441
unmatched,178.06,13.313,630.9551,64004.0,100.0,100.0,18,CF2,0.004642496191195278
unmatched,251.49,13.912,1080.93365,15770.0,100.0,100.0,18,CF2,-0.0026179670262536092
unmatched,179.95499999999998,14.337,630.9588,27234.0,100.0,100.0,18,CF2,0.0009422601161759303
unmatched,189.915,15.9035,630.95965,91364.0,100.0,100.0,18,CF2,9.220588276548369e-05
unmatched,183.138,14.987799999999998,630.9597,1643.0,100.0,100.0,18,CF2,4.2202692497994576e-05
unmatched,183.614,12.952800000000002,630.9602600000001,31664.0,100.0,100.0,18,CF2,-0.0005178330378612372
unmatched,183.21,13.495,630.9607,11656.0,100.0,100.0,18,CF2,-0.0009578611114875457
unmatched,186.59,12.35,630.9611,4473.0,100.0,100.0,18,CF2,-0.0013578866331727113
unmatched,187.80692307692303,14.173923076923076,630.9615769230769,75566.0,100.0,100.0,18,CF2,-0.0018348401397361158
unmatched,215.56,12.495,630.9618,77857.0,100.0,100.0,18,CF2,-0.0020579312960080642
unmatched,177.445,15.697,630.9558,40779.0,100.0,100.0,18,CF2,0.003942451528473612
unmatched,182.16000000000005,11.967,630.9703,88139.0,100.0,100.0,18,CF2,-0.010558473630567278
unmatched,133.87,13.496,330.9777,90696.0,100.0,100.0,18,CF2,0.0011822754291301862
unmatched,146.77,7.632,330.979,85098.0,100.0,100.0,18,CF2,-0.00011780751611922824
unmatched,151.07999999999998,6.658,330.97905000000003,75231.0,100.0,100.0,18,CF2,-0.00016781070632987394
unmatched,150.605,7.8365,330.9803,74056.0,100.0,100.0,18,CF2,-0.0014178904614254861
unmatched,137.77,7.774,330.9804,36584.0,100.0,100.0,18,CF2,-0.0015178968417899341
unmatched,164.10666666666663,6.1243333333333325,330.98043333333334,89394.0,100.0,100.0,18,CF2,-0.0015512323019493124
