Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,6675.0,6.8,22.79,171.9,335.0501,,,,0.0,0.0,123.999,113.999,0.0,0.0,0.0,0.0,25.0,29.0
No Match,None,unmatched,5416.0,11.4,22.11,165.7,350.048,,,,0.0,0.0,0.0,0.0,0.0,0.0,224.999,221.999,25.0,52.0
No Match,None,unmatched,5304.0,11.7,22.05,165.3,352.9414,,,,0.0,168.999,0.0,0.0,0.0,145.999,186.999,0.0,37.5,60.0
No Match,None,unmatched,4290.0,15.6,22.04,165.4,352.9448,,,,0.0,0.0,0.0,0.0,272.999,211.999,0.0,0.0,25.0,57.0
No Match,None,unmatched,3560.0,10.1,21.7,163.0,355.0443,,,,104.999,106.999,118.999,159.999,0.0,0.0,0.0,128.999,62.5,76.0
No Match,None,unmatched,4419.0,11.1,21.72,163.1,355.044,,,,170.999,136.999,0.0,0.0,0.0,0.0,0.0,157.999,37.5,56.0
No Match,None,unmatched,2025.0,12.4,23.58,176.9,357.0114,,,,126.999,129.999,171.999,168.999,207.999,228.999,133.999,119.999,100.0,154.0
No Match,None,unmatched,2112.0,15.1,23.59,177.1,357.011,,,,124.999,238.999,154.999,159.999,198.999,130.999,139.999,125.999,100.0,153.0
No Match,None,unmatched,2019.0,3.4,23.16,173.7,359.0769,,,,226.999,183.999,175.999,162.999,0.0,188.999,169.999,124.999,87.5,147.0
No Match,None,unmatched,235.0,9.6,23.03,172.4,366.8979,,,,1829.999,1587.999,1746.999,1468.999,2030.999,2055.999,1258.999,1201.999,100.0,1476.0
No Match,None,unmatched,2689.0,12.4,22.74,170.6,367.0268,,,,149.999,0.0,188.999,172.999,149.999,151.999,0.0,0.0,62.5,97.0
No Match,None,unmatched,6011.0,9.6,23.05,172.4,368.8926,,,,0.0,115.999,0.0,0.0,0.0,0.0,0.0,120.999,25.0,29.0
No Match,None,unmatched,7138.0,15.4,21.28,159.6,376.9024,,,,101.999,0.0,0.0,0.0,104.999,0.0,0.0,0.0,25.0,26.0
No Match,None,unmatched,2043.0,4.7,22.95,171.8,381.0236,,,,172.999,0.0,229.999,208.999,273.999,0.0,170.999,161.999,75.0,144.0
No Match,None,unmatched,6360.0,6.4,22.3,166.9,386.9167,,,,109.999,0.0,0.0,0.0,0.0,0.0,151.999,0.0,25.0,32.0
No Match,None,unmatched,4796.0,7.3,22.3,166.8,386.9179,,,,145.999,0.0,0.0,0.0,0.0,135.999,135.999,0.0,37.5,51.0
No Match,None,unmatched,5443.0,12.0,22.16,165.6,399.0507,,,,0.0,0.0,0.0,0.0,0.0,0.0,137.999,100.999,25.0,29.0
No Match,None,unmatched,3329.0,12.7,22.16,165.8,399.0524,,,,144.999,0.0,125.999,0.0,0.0,125.999,122.999,118.999,62.5,78.0
No Match,None,unmatched,4874.0,3.2,21.12,157.5,400.861,,,,0.0,133.999,0.0,0.0,0.0,0.0,150.999,123.999,37.5,50.0
No Match,None,unmatched,5041.0,10.3,24.86,186.0,408.9164,,,,115.999,0.0,149.999,0.0,0.0,120.999,0.0,0.0,37.5,47.0
No Match,None,unmatched,5055.0,10.3,24.8,185.7,410.9178,,,,116.999,0.0,155.999,112.999,0.0,0.0,0.0,0.0,37.5,47.0
No Match,None,unmatched,4108.0,4.9,24.36,181.5,428.9252,,,,158.999,0.0,0.0,0.0,0.0,0.0,169.999,186.999,37.5,61.0
No Match,None,unmatched,4287.0,15.7,24.56,183.2,432.9865,,,,0.0,152.999,0.0,0.0,0.0,154.999,0.0,0.0,25.0,37.0
No Match,None,unmatched,1917.0,3.1,25.27,188.1,439.0667,,,,151.999,211.999,0.0,0.0,335.999,309.999,157.999,157.999,75.0,156.0
No Match,None,unmatched,4131.0,4.3,23.73,176.8,452.8887,,,,0.0,0.0,0.0,123.999,0.0,168.999,0.0,0.0,25.0,35.0
No Match,None,unmatched,2076.0,12.4,25.53,189.8,469.0327,,,,179.999,0.0,235.999,157.999,148.999,0.0,188.999,202.999,75.0,132.0
No Match,None,unmatched,412.0,14.7,26.02,193.3,485.065,,,,1526.999,466.999,1516.999,1309.999,778.999,697.999,558.999,563.999,100.0,836.0
