Group,Peak,ID,RT,CCS,.d.DeMP
220,668.5214,22548,4.174,262.97,226.66677777777775
221,668.3976,10865,3.529,256.33,141.999
221,669.4034,27285,3.458,251.24,70.999
222,668.9592,7856,2.946,209.55,207.889
222,669.9633,301,2.964,208.94,45806.30932783753
223,668.964,15354,2.837,186.52,364.84353218151085
223,669.9637,190,2.95,187.94,69537.999
224,669.4051,4538,3.705,259.5,1272.999
224,669.472,26700,3.572,263.61,136.999
225,669.4084,10373,3.691,255.81,759.999
225,670.4136,19565,3.859,253.23,359.999
226,677.4615,17032,3.493,261.86,1194.999
226,678.4628,28567,3.632,260.44,102.999
227,687.5472,2036,4.257,267.36,173.999
227,688.5532,5861,4.061,265.55,4415.777888888889
228,692.4745,25506,4.281,263.29,175.999
228,693.4768,2651,4.128,262.38,1084.999
229,692.4945,13441,3.463,269.9,230.999
229,693.5,14511,3.362,270.34,104.999
230,696.5017,5718,4.02,263.62,1557.6724530038523
230,697.5046,13177,4.219,262.72,672.0001111111111
231,696.8493,21274,0.586,215.39,134.999
231,696.908,18933,0.478,215.46,8.000111111111124
232,703.4754,20946,4.098,263.97,232.999
232,704.4758,14396,3.988,264.35,708.2223333333334
233,713.9581,23641,2.938,207.86,129.999
233,714.957,703,2.943,209.74,9303.296587628778
234,722.5389,3692,3.155,279.01,287.999
234,723.5366,27197,3.189,278.02,144.66677777777778
235,723.0515,18316,4.136,268.36,976.3334444444444
235,723.3019,21620,4.157,268.74,69.395955333713
236,725.1188,24973,4.01,267.83,161.0699998519621
236,726.1241,28982,4.144,267.9,40.88899999999998
237,733.5519,9213,2.905,280.58,654.999
237,734.5575,16348,2.97,280.72,589.999
238,733.5578,15044,2.862,279.71,422.889
238,734.5575,16348,2.97,280.72,589.999
239,737.54,1799,4.137,280.54,898.999
239,738.5413,15237,4.211,282.2,113.999
240,754.8163,29138,0.566,220.73,34.777888888888896
240,754.8931,28921,0.488,224.75,81.22233333333332
241,767.004,18927,4.104,276.98,85.7778888888889
241,768.0021,21603,4.151,275.69,241.999
242,767.2868,26063,4.445,275.6,94.44455555555558
242,767.7868,28805,4.258,273.23,8.333444444444439
243,767.9725,28524,4.152,275.41,57.33344444444445
243,768.0346,20059,3.978,276.22,19.444555555555556
244,768.9553,14290,3.255,203.91,165.999
244,769.9593,15470,3.262,204.45,178.999
245,772.5346,300,4.32,279.21,79756.999
245,773.5376,450,4.24,279.32,5565.999
246,772.5346,485,4.433,278.2,91862.999
246,773.5376,450,4.24,279.32,5565.999
247,772.5357,6573,2.994,275.51,1283.999
247,773.5402,8829,3.128,276.14,2371.999
248,772.5582,17684,3.191,286.94,116.999
248,773.5638,18572,3.302,286.06,391.999
249,773.2864,26097,4.287,276.67,111.999
249,773.5376,450,4.24,279.32,5565.999
250,773.426,27468,4.337,277.7,152.999
250,773.5376,450,4.24,279.32,5565.999
251,790.5459,11967,4.234,299.41,410.8421707908513
251,791.5504,23187,4.238,298.04,216.22233333333327
252,791.5503,23964,4.66,296.42,240.1460432545239
252,792.5571,28510,4.654,296.74,20.666777777777757
253,809.525,802,4.092,284.28,10401.999
253,809.5879,18734,4.276,289.13,58.77788888888893
254,830.5971,3495,4.396,296.04,1844.999
254,831.6,9706,4.542,295.71,339.999
255,833.5248,31,4.081,287.01,253486.999
255,834.5284,6379,3.929,287.79,681.999
256,835.5402,23753,3.489,289.96,145.889
256,836.5354,13582,3.674,290.43,871.889
257,866.5977,1711,4.14,300.61,13815.999
257,867.6003,3629,4.219,300.36,481.1060514980336
258,870.5368,6549,3.969,295.99,953.999
258,871.5418,418,4.144,294.35,18866.999
259,885.5579,87,4.23,296.11,412405.77329545456
259,886.5611,18518,4.249,298.28,120.999
260,896.5517,6742,4.094,300.13,1238.999
260,897.5561,3347,4.151,299.44,1049.999
261,899.5757,3871,4.273,298.92,1686.999
261,900.5706,7835,4.362,300.51,245.999
262,901.5522,1048,3.995,301.46,1966.999
262,902.559,13439,4.063,300.88,675.999
263,901.5529,4366,4.154,299.81,1100.999
263,902.559,13439,4.063,300.88,675.999
264,987.6258,24209,4.827,316.41,69.999
264,988.6295,22672,4.816,317.33,124.999
265,1034.7662,12637,4.507,333.79,6.770625168498697
265,1035.7734,21736,4.38,332.44,107.999
266,1072.8383,18636,3.7,341.73,104.999
266,1073.8441,26976,3.623,340.28,189.999
267,1086.818,27386,3.341,339.44,163.999
267,1087.8223,14482,3.504,343.43,371.999
268,1090.8546,23829,3.913,341.63,308.999
268,1091.8547,25446,3.864,345.13,152.999
