Parent Peak,Child/Baby Peak,Relationship Type
219.1131,219.1131,loner
219.137,219.137,loner
219.1375,219.1375,loner
219.1757,219.1757,loner
220.1449,220.1449,loner
220.1461,220.1461,loner
220.1478,220.1478,loner
220.1482,221.1523,parent-child
220.1482,221.1523,baby
220.899,220.899,loner
220.9404,220.9404,loner
220.9676,220.9676,loner
221.0105,221.0105,loner
221.0435,221.0435,loner
221.1529,221.1529,loner
221.1538,221.1538,loner
221.9071,221.9071,loner
222.0287,223.0297,parent-child
222.0287,223.0297,baby
222.0305,223.0297,parent-child
222.0305,223.0297,baby
222.031,223.0297,parent-child
222.031,223.0297,baby
222.1127,222.1127,loner
222.8991,222.8991,loner
222.8997,222.8997,loner
222.9635,222.9635,loner
222.998,222.998,loner
223.0005,223.0005,loner
223.0177,223.0177,loner
223.0181,223.0181,loner
223.0193,223.0193,loner
223.0194,223.0194,loner
223.0219,223.0219,loner
223.0596,224.0627,parent-child
223.0596,224.0627,baby
223.1321,223.1321,loner
223.1326,223.1326,loner
223.1342,223.1342,loner
223.1685,223.1685,loner
223.1706,223.1706,loner
223.9405,224.9374,parent-child
223.9405,224.9387,parent-child
223.9405,224.9387,baby
223.9533,223.9533,loner
224.0305,224.0305,loner
225.0053,225.0053,loner
225.0645,225.0645,loner
225.0646,225.0646,loner
225.1097,225.1097,loner
225.1847,225.1847,loner
225.2208,225.2208,loner
225.2212,225.2212,loner
227.0289,227.0289,loner
227.0369,228.0394,parent-child
227.0369,228.0394,baby
227.072,227.072,loner
227.1002,227.1002,loner
227.1007,227.1007,loner
227.1012,227.1012,loner
227.1014,227.1014,loner
227.1023,227.1023,loner
227.1295,227.1295,loner
227.1992,227.1992,loner
227.2003,227.2003,loner
227.2004,227.2004,loner
227.2011,227.2011,loner
227.2016,227.2016,loner
227.2023,227.2023,loner
227.2025,227.2025,loner
227.2033,227.2033,loner
227.2034,227.2034,loner
228.9311,228.9311,loner
228.9332,228.9332,loner
228.964,228.964,loner
228.9652,228.9652,loner
228.9688,228.9688,loner
228.9938,228.9938,loner
229.0544,229.0544,loner
229.0877,229.0877,loner
229.1792,229.1792,loner
229.1942,229.1942,loner
229.1951,229.1951,loner
229.1954,229.1954,loner
229.8711,229.8711,loner
230.0642,231.0653,parent-child
230.0642,231.0653,baby
230.9277,230.9277,loner
230.9948,231.9946,parent-child
230.9948,231.9946,baby
230.9959,231.9946,parent-child
230.9959,231.9946,baby
231.033,231.033,loner
231.124,231.124,loner
231.2105,231.2105,loner
231.2128,231.2128,loner
231.8718,231.8718,loner
232.0255,232.0255,loner
232.8873,232.8873,loner
232.9923,232.9923,loner
232.9956,232.9956,loner
233.0127,233.0127,loner
233.0306,233.0306,loner
233.0461,233.0461,loner
233.1144,234.1121,parent-child
233.1144,234.1121,baby
233.1525,233.1525,loner
233.153,233.153,loner
233.1542,233.1542,loner
233.2281,233.2281,loner
234.1232,234.1232,loner
235.0591,235.0591,loner
235.171,235.171,loner
235.1722,235.1722,loner
235.208,235.208,loner
236.1042,236.1042,loner
236.1045,237.1091,parent-child
236.1045,237.1091,baby
236.1047,237.1091,parent-child
236.1047,237.1091,baby
236.1049,237.1091,parent-child
236.1049,237.1091,baby
236.105,237.1091,parent-child
236.105,237.1091,baby
236.1063,237.1091,parent-child
236.1063,237.1091,baby
237.1105,237.1105,loner
237.149,237.149,loner
237.1848,237.1848,loner
237.1852,237.1852,loner
237.2212,237.2212,loner
237.2228,237.2228,loner
238.0759,238.0759,loner
238.8931,238.8931,loner
239.0657,239.0657,loner
239.0682,239.0682,loner
239.0895,239.0895,loner
239.0912,239.0912,loner
239.0921,239.0921,loner
239.1632,239.1632,loner
239.1635,239.1635,loner
239.1638,239.1638,loner
239.2008,239.2008,loner
239.2376,240.2403,parent-child
239.2376,240.2403,baby
239.2379,240.2403,parent-child
239.2379,240.2403,baby
240.9827,240.9827,loner
241.0178,241.0178,loner
241.0713,241.0713,loner
241.0964,241.0964,loner
241.0997,241.0997,loner
241.1054,241.1054,loner
241.1069,241.1069,loner
241.1456,241.1456,loner
241.1823,242.1781,parent-child
241.1823,242.1786,parent-child
241.1823,242.1795,parent-child
241.1823,242.1818,parent-child
241.1823,242.1818,baby
241.2161,241.2161,loner
241.218,241.218,loner
241.2189,241.2189,loner
242.0773,242.0773,loner
242.9948,242.9948,loner
242.9966,242.9966,loner
243.032,244.0318,parent-child
243.032,244.0318,baby
243.0704,243.0704,loner
243.1704,243.1704,loner
243.1952,243.1952,loner
243.1966,243.1966,loner
244.0322,244.0322,loner
244.0325,244.0325,loner
244.0334,244.0334,loner
244.9078,244.9078,loner
244.9634,244.9634,loner
244.964,244.964,loner
244.9653,244.9653,loner
244.9669,244.9669,loner
245.0066,245.0066,loner
245.0107,245.0107,loner
245.0112,245.0112,loner
245.0113,245.0113,loner
245.0144,245.0144,loner
245.046,245.046,loner
245.0476,245.0476,loner
245.0483,245.0483,loner
245.049,245.049,loner
245.0493,245.0493,loner
245.1148,245.1148,loner
245.115,245.115,loner
245.1376,245.1376,loner
245.1898,245.1898,loner
245.1912,245.1912,loner
246.0726,246.0726,loner
246.0732,246.0732,loner
246.0737,246.0737,loner
246.0745,246.0745,loner
246.0764,246.0764,loner
246.951,246.951,loner
246.9822,246.9822,loner
246.9824,246.9824,loner
247.0053,247.0053,loner
247.1691,248.1662,parent-child
247.1691,248.1662,baby
247.1703,248.1662,parent-child
247.1703,248.1662,baby
247.1734,247.1734,loner
248.0544,248.0544,loner
248.1399,248.1399,loner
248.9876,248.9876,loner
248.9883,248.9883,loner
249.0391,249.0391,loner
249.112,249.112,loner
249.1141,249.1141,loner
249.148,250.1437,parent-child
249.148,250.1437,baby
249.1504,249.1504,loner
249.1522,249.1522,loner
249.1626,249.1626,loner
249.1848,249.1848,loner
249.1859,249.1859,loner
249.1871,249.1871,loner
249.221,249.221,loner
249.2234,249.4745,parent-child
249.2234,249.4745,baby
249.4056,249.4056,loner
249.4306,249.4306,loner
249.4322,249.4322,loner
249.4634,249.4634,loner
249.8888,249.8888,loner
249.9716,249.9716,loner
