,Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP
45,"3-Amino-4,4,5,5-tetrafluoro-1-phenylpent-2-ene-1-thione",External Targets,tentative,3492,10.111,19.32,146.93,262.0299,-7.64,N/A,N/A,0,0,0,457.999,0,0,0,175.999
46,"2(1H)-Quinoxalinone, 3-(pentafluoroethyl)-",External Targets,tentative,4710,10.954,18.626,141.65,263.0277,10.56,N/A,N/A,0,222.999,204.999,0,0,0,0,0
47,"2(1H)-Quinoxalinone, 3-(pentafluoroethyl)-",External Targets,tentative,4853,11.327,19.36,147.21,263.0271,8.27,N/A,N/A,248.999,0,0,0,0,0,0,162.999
48,1H-Pyrrol-2-yl(perfluoropropyl)methanol,External Targets,tentative,5750,12.994,18.661,141.76,264.0278,5,N/A,N/A,0,0,0,0,0,151.999,158.999,0
49,"2,4-Heptanedione, 6-hydroxy-7,7,7-trifluoro-6-trifluoromethyl- or 2,4-Pentanedione, 3-(1-hydroxy-2,2,2-trifluoro-1-(trifluoromethyl)ethyl)- or 3-[3,3,3-Trifluoro-2-hydroxy-2-(trifluoromethyl)propyl]oxolan-2-one",External Targets,tentative,4727,11.937,18.77,142.69,265.0286,-7.11,N/A,N/A,0,0,0,233.999,0,0,0,191.999
50,"2,4-Heptanedione, 6-hydroxy-7,7,7-trifluoro-6-trifluoromethyl- or 2,4-Pentanedione, 3-(1-hydroxy-2,2,2-trifluoro-1-(trifluoromethyl)ethyl)- or 3-[3,3,3-Trifluoro-2-hydroxy-2-(trifluoromethyl)propyl]oxolan-2-one",External Targets,tentative,2724,13.841,18.669,141.92,265.0292,-4.84,N/A,N/A,0,0,0,417.999,0,0,450.999,0
51,"2,4-Heptanedione, 6-hydroxy-7,7,7-trifluoro-6-trifluoromethyl- or 2,4-Pentanedione, 3-(1-hydroxy-2,2,2-trifluoro-1-(trifluoromethyl)ethyl)- or 3-[3,3,3-Trifluoro-2-hydroxy-2-(trifluoromethyl)propyl]oxolan-2-one",External Targets,tentative,1778,14.448,18.668,142.01,265.0294,-4.09,N/A,N/A,522.999,0,0,519.999,0,0,418.999,0
52,"5-(Heptafluoropropyl)-N-methyl-1,3,4-oxadiazol-2-amine",External Targets,tentative,4917,3.474,18.079,137.56,266.0176,2.33,N/A,N/A,155.999,0,0,0,125.999,120.999,0,0
53,"5-(Heptafluoropropyl)-N-methyl-1,3,4-oxadiazol-2-amine",External Targets,tentative,3095,13.709,19.268,146.3,266.0155,-5.56,N/A,N/A,0,232.999,0,0,133.999,158.999,0,210.999
54,"4-[(1,2,3,3,3-Pentafluoroprop-1-en-1-yl)oxy]benzoic acid",External Targets,tentative,7904,9.819,18.401,139.86,267.0059,-10.13,N/A,N/A,0,0,0,54.999,58.999,0,0,51.999
55,"4-[(1,2,3,3,3-Pentafluoroprop-1-en-1-yl)oxy]benzoic acid",External Targets,tentative,4325,10.169,19.23,146.29,267.0102,5.97,N/A,N/A,84.999,0,96.999,144.999,0,0,0,151.999
56,"4-[(1,2,3,3,3-Pentafluoroprop-1-en-1-yl)oxy]benzoic acid",External Targets,tentative,6342,10.496,19.269,146.42,267.0113,10.09,N/A,N/A,0,0,140.999,0,0,0,0,121.999
57,"7,8,8,8-Tetrafluoro-7-(trifluoromethyl)octan-1-ol",External Targets,tentative,1869,5.662,20.713,157.31,269.0757,-9.22,N/A,N/A,219.999,111.999,265.999,203.999,72.999,254.999,131.999,113.999
58,"3-(1,1,1,3,3,3-Hexafluoro-2-hydroxypropan-2-yl)bicyclo[2.2.1]heptan-2-one or 3-(2-Methylprop-1-en-1-yl)-2,2-bis(trifluoromethyl)cyclopropane-1-carboxylic acid",External Targets,tentative,4315,12.222,19.866,150.73,275.0533,7.57,N/A,N/A,185.999,294.999,0,0,0,0,0,0
59,2-(Perfluorobutyl)ethanethiol,External Targets,tentative,4559,10.531,18.591,140.69,278.9907,4.14,N/A,N/A,0,221.999,0,0,0,0,225.999,0
60,2-(Perfluorobutyl)ethanethiol,External Targets,tentative,4857,11.294,18.592,140.87,278.9933,13.46,N/A,N/A,0,0,0,0,178.999,0,232.999,0
61,"Bis(1H,1H-perfluoropropyl)amine",External Targets,tentative,7350,11.488,19.442,147.32,280.022,10.89,N/A,N/A,0,0,0,0,67.999,65.999,60.999,0
62,"Bis(1H,1H-perfluoropropyl)amine",External Targets,tentative,3782,13.361,19.419,147.29,280.0217,9.82,N/A,N/A,14.96045366,0,0,12.96045366,0,0,0,0
63,"1,1,2,2,3,3,4,4-Octafluorobutane-1-sulphonic acid or 1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfinic acid",External Targets,tentative,5495,10.678,20.252,153.39,280.9552,9.93,N/A,N/A,0,0,172.999,0,0,0,87.999,76.999
64,"(1z,6z)-2,2,3,3,4,4,5,5-octafluorohexanediimidamide",External Targets,tentative,2730,13.64366667,19.19366667,145.5466667,285.0422333,10.67,N/A,N/A,336.999,0,77.50582119,365.999,421.999,447.999,0,0
