level,m/C,MD/C
1.2,57.39,0.009111584206497492
1.2,58.26,0.009111584206497492
1.2,59.13,0.009111584206497492
1.2,60.0,0.009111584206497492
1.2,60.87,0.009111584206497492
1.2,61.74,0.009111584206497492
1.2,62.61,0.009111584206497492
1.2,63.48,0.009111584206497492
1.2,64.35,0.009111584206497492
1.2,65.22,0.009111584206497492
1.2,66.09,0.009111584206497492
1.2,66.96,0.009111584206497492
1.2,67.83,0.009111584206497492
1.2,68.7,0.009111584206497492
1.2,69.57,0.009111584206497492
1.2,70.43,0.009111584206497492
1.2,71.3,0.009111584206497492
1.2,72.17,0.009111584206497492
1.2,73.04,0.009111584206497492
1.2,73.91,0.009111584206497492
1.2,74.78,0.009111584206497492
1.2,75.65,0.009111584206497492
1.2,76.52,0.009111584206497492
1.2,77.39,0.009111584206497492
1.2,78.26,0.009111584206497492
1.2,79.13,0.009111584206497492
1.3,24.35,-0.006527958255628968
1.3,25.22,-0.006527958255628968
1.3,26.090000000000003,-0.006527958255628968
1.3,26.96,-0.006527958255628968
1.3,27.83,-0.006527958252234165
1.3,28.700000000000003,-0.006527958226559174
1.3,29.57,-0.006527958093459128
1.3,30.43,-0.006527957548606753
1.3,31.300000000000004,-0.006527955658517756
1.3,32.17,-0.006527950212273696
1.3,33.04,-0.006527935890876697
1.3,33.91,-0.006527898694305119
1.3,34.78,-0.006527798702539825
1.3,35.65,-0.006527538641812495
1.3,36.52,-0.006526884294961708
1.3,37.39,-0.006525248014462243
1.3,38.25999999999999,-0.006521041570255771
1.3,39.13,-0.006510366195366478
1.3,40.0,-0.006485100802314384
1.3,40.87,-0.006430855627133608
1.3,41.74,-0.006324756110914836
1.3,41.86592132082029,-0.0063
1.3,42.61,-0.0060385543992889
1.3,42.85800409653885,-0.0059
1.3,43.060365360224644,-0.0054
1.3,42.93865527328764,-0.005
1.3,42.62942011274385,-0.0046
1.3,42.61,-0.004579111397145692
1.3,42.16407918090914,-0.0041
1.3,41.74,-0.003778275181506881
1.3,41.63407511229268,-0.0037
