PrecursorName,SMILES,Formula,PrecursorMz,PrecursorAdduct
"3,3,4,5,5,5-Hexafluoro-2-methylpentan-2-ol",CC(C)(O)C(F)(F)C(F)C(F)(F)F,C6H8F6O,209.0406539,M-H
"3,3,4,5,5,5-Hexafluoro-2-methylpentan-1-ol",CC(CO)C(F)(F)C(F)C(F)(F)F,C6H8F6O,209.0406539,M-H
"1,5-Pentanediamine, 2,2,3,3,4,4-hexafluoro-",NCC(F)(F)C(F)(F)C(F)(F)CN,C5H8F6N2,209.0518872,M-H
"3,3,3-trifluoro-2-hydroxy-2-(trifluoromethyl)propanamide",NC(=O)C(O)(C(F)(F)F)C(F)(F)F,C4H3F6NO2,209.9995173,M-H
4-(Pentafluoroethyl)aniline,NC1=CC=C(C=C1)C(F)(F)C(F)(F)F,C8H6F5N,210.03476,M-H
3-(Pentafluoroethyl)aniline,NC1=CC=CC(=C1)C(F)(F)C(F)(F)F,C8H6F5N,210.03476,M-H
N-(Pentafluoroethyl)aniline,FC(F)(F)C(F)(F)NC1=CC=CC=C1,C8H6F5N,210.03476,M-H
"1,1,1,3,3,3-Hexafluoro-2-[(methylamino)methyl]propan-2-ol",CNCC(O)(C(F)(F)F)C(F)(F)F,C5H7F6NO,210.0359028,M-H
"6-(1,2,2,2-Tetrafluoroethyl)-1,3,5-triazine-2,4-diamine",NC1=NC(=NC(N)=N1)C(F)C(F)(F)F,C5H5F4N5,210.0408278,M-H
"2,2-bis(Trifluoromethyl)-2-hydroxyacetic acid",OC(=O)C(O)(C(F)(F)F)C(F)(F)F,C4H2F6O3,210.9835329,M-H
"Difluoro(1,1,2,2-tetrafluoroethoxy)acetic acid",OC(=O)C(F)(F)OC(F)(F)C(F)F,C4H2F6O3,210.9835329,M-H
"2,3,3-Trifluoro-3-(trifluoromethoxy)propanoic acid",OC(=O)C(F)C(F)(F)OC(F)(F)F,C4H2F6O3,210.9835329,M-H
Perfluorobutyrylamidine,NC(=N)C(F)(F)C(F)(F)C(F)(F)F,C4H3F7N2,211.0111652,M-H
"Phenol, 4-(pentafluoroethyl)-",OC1=CC=C(C=C1)C(F)(F)C(F)(F)F,C8H5F5O,211.0187756,M-H
Hexafluoroamylene glycol,OCC(F)(F)C(F)(F)C(F)(F)CO,C5H6F6O2,211.0199184,M-H
"2-ethoxy-1,1,1,3,3,3-hexafluoropropan-2-ol",CCOC(O)(C(F)(F)F)C(F)(F)F,C5H6F6O2,211.0199184,M-H
"3,3,4,5,5,5-Hexafluoropentane-1,2-diol",OCC(O)C(F)(F)C(F)C(F)(F)F,C5H6F6O2,211.0199184,M-H
"1,1-bis(Trifluoromethyl)methoxy-2-ethanol",OCCOC(C(F)(F)F)C(F)(F)F,C5H6F6O2,211.0199184,M-H
Heptafluorobutyramide,NC(=O)C(F)(F)C(F)(F)C(F)(F)F,C4H2F7NO,211.9951808,M-H
"2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propanamide",NC(=O)C(F)(C(F)(F)F)C(F)(F)F,C4H2F7NO,211.9951808,M-H
"2,2,3,3,4,4,4-Heptafluoro-N-methylbutan-1-amine",CNCC(F)(F)C(F)(F)C(F)(F)F,C5H6F7N,212.0315663,M-H
"3,3,4,4,5,5,5-Heptafluoropentan-1-amine",NCCC(F)(F)C(F)(F)C(F)(F)F,C5H6F7N,212.0315663,M-H
"3,3,4,4,5,5,5-Heptafluoropentan-2-amine",CC(N)C(F)(F)C(F)(F)C(F)(F)F,C5H6F7N,212.0315663,M-H
"1,1,2,2,3-Pentafluoropropane-1-sulfonic acid",OS(=O)(=O)C(F)(F)C(F)(F)CF,C3H3F5O3S,212.9650259,M-H
Perfluorobutanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,C4HF7O2,212.9791964,M-H
Perfluoroisobutyric acid,OC(=O)C(F)(C(F)(F)F)C(F)(F)F,C4HF7O2,212.9791964,M-H
3:2 Fluorotelomer alcohol,OCCC(F)(F)C(F)(F)C(F)(F)F,C5H5F7O,213.0155819,M-H
2(Perfluoro-2-propyl)ethanol,OCCC(F)(C(F)(F)F)C(F)(F)F,C5H5F7O,213.0155819,M-H
1-Perfluoropropylethanol,CC(O)C(F)(F)C(F)(F)C(F)(F)F,C5H5F7O,213.0155819,M-H
"(2S)-3,3,4,4,5,5,5-Heptafluoropentan-2-ol",C[C@H](O)C(F)(F)C(F)(F)C(F)(F)F,C5H5F7O,213.0155819,M-H
(-)-1-Perfluoropropylethanol,[H][C@](C)(O)C(F)(F)C(F)(F)C(F)(F)F,C5H5F7O,213.0155819,M-H
"2-Propanol, 2-(chloromethyl)-1,1,1,3,3,3-hexafluoro-",OC(CCl)(C(F)(F)F)C(F)(F)F,C4H3ClF6O,214.9703814,M-H
"2,2,3,3,4,4,4-Heptafluorobutane-1,1-diol",OC(O)C(F)(F)C(F)(F)C(F)(F)F,C4H3F7O2,214.9948465,M-H
"4-Hepten-3-one, 1,1,2,2-tetrafluoro-5-mercapto-",CCC(S)=CC(=O)C(F)(F)C(F)F,C7H8F4OS,215.0159187,M-H
"4-Methyl-3-(pentafluoroethyl)-1,2-oxazol-5-amine",CC1=C(N)ON=C1C(F)(F)C(F)(F)F,C6H5F5N2O,215.0249236,M-H
"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",CCOC(=O)C=C(O)C(F)(F)C(F)F,C7H8F4O3,215.0336768,M-H
"3-Hydroxy-3-(1,1,2,2-tetrafluoroethyl)piperazin-2-one",OC1(NCCNC1=O)C(F)(F)C(F)F,C6H8F4N2O2,215.0449102,M-H
