Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),Abundance,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
PFDS (M-H),CCS Library,likely,6190.0,11.9,25.17,186.5,598.9175,-10.52,0.17,N/A,33.999,140.999,0.0,132.999,0.0,0.0,0.0,0.0,0.0,33.3,34.0
"2,2,3,3-Tetrafluoro-1,4-butanediol or 2,2,3,3-Tetrafluoro-1-methoxypropan-1-ol",Suspects Library,tentative,2529.0,2.1,16.24,127.2,161.0231,-0.08,N/A,N/A,117.999,173.999,73.999,192.999,167.999,0.0,154.999,112.999,66.999,88.9,115.0
"1,1-bis(Trifluoromethyl)methoxy-2-ethanol or 2-ethoxy-1,1,1,3,3,3-hexafluoropropan-2-ol or 3,3,4,5,5,5-Hexafluoropentane-1,2-diol or Hexafluoroamylene glycol",Suspects Library,tentative,7185.0,4.6,17.36,133.8,211.022,9.86,N/A,N/A,25.999,123.999,0.0,80.999,0.0,0.0,0.0,0.0,0.0,33.3,26.0
"7,7,8,8,8-pentafluorooctan-1-ol",Suspects Library,tentative,7313.0,7.5,17.5,134.7,219.0819,2.39,N/A,N/A,24.999,131.999,0.0,0.0,64.999,0.0,0.0,0.0,0.0,33.3,26.0
"2,2,3,3,3-pentafluoro-N-(3H-1,2,4-triazol-3-yl)propanamide or 2,2,3,3,3-pentafluoro-N-(4H-1,2,4-triazol-4-yl)propanamide",Suspects Library,tentative,6790.0,3.7,19.13,146.6,229.0176,9.51,N/A,N/A,28.999,0.0,0.0,66.999,111.999,0.0,0.0,49.999,0.0,44.4,30.0
"4-[(2,2,3,3-Tetrafluoropropyl)sulfanyl]benzene-1,2-diamine",Suspects Library,tentative,6556.0,4.8,17.76,135.4,253.0404,-9.49,N/A,N/A,30.999,0.0,90.999,76.999,0.0,78.999,0.0,0.0,0.0,44.4,32.0
[(Heptafluoropropyl)sulfanyl]acetic acid,Suspects Library,tentative,834.0,2.0,18.48,140.6,258.9645,-9.34,N/A,N/A,407.999,419.999,344.999,425.999,473.999,429.999,522.999,339.999,306.999,100.0,377.0
1H-Pyrrol-2-yl(perfluoropropyl)methanol,Suspects Library,tentative,5750.0,13.0,18.66,141.8,264.0278,5.0,N/A,N/A,38.999,0.0,0.0,0.0,0.0,0.0,151.999,158.999,0.0,33.3,38.0
"7,8,8,8-Tetrafluoro-7-(trifluoromethyl)octan-1-ol",Suspects Library,tentative,1869.0,5.7,20.71,157.3,269.0757,-9.22,N/A,N/A,171.999,219.999,111.999,265.999,203.999,72.999,254.999,131.999,113.999,100.0,165.0
"3-(1,1,1,3,3,3-Hexafluoro-2-hydroxypropan-2-yl)bicyclo[2.2.1]heptan-2-one or 3-(2-Methylprop-1-en-1-yl)-2,2-bis(trifluoromethyl)cyclopropane-1-carboxylic acid",Suspects Library,tentative,4315.0,12.2,19.87,150.7,275.0533,7.57,N/A,N/A,59.999,185.999,294.999,0.0,0.0,0.0,0.0,0.0,0.0,33.3,57.0
