PREFERRED NAME,SMILES,Formula,Mass,MONOISOTOPIC MASS,M+1,lib_eC,lib_M_eC,lib_MD,lib_MD_eC
"Difluoro(1,1,2,2,3,3,4,4-octafluoro-4-iodobutoxy)acetic acid",OC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,C6HF10IO3,437.8810741,436.87379,6.489436976,5.999849275,72.81412749,-0.12621,-0.021035528
"1,1,2,2-Tetrafluoroethanesulfonic acid",OS(=O)(=O)C(F)(F)C(F)F,C2H2F4O3S,181.9660778,180.9587978,2.163145659,1.999949758,90.48167188,-0.0412022,-0.020601618
Pentafluoroethylphosphonic acid,OP(O)(=O)C(F)(F)C(F)(F)F,C2H2F5O3P,199.9661717,198.9588917,2.163145659,1.999949758,99.48194492,-0.0411083,-0.020554666
"Octafluorobutane-1,4-disulfinic acid",OS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(O)=O,C4H2F8O4S2,329.9266763,328.9193962,4.326291317,3.999899517,82.23191479,-0.0806038,-0.020151456
2-(Bromomethyl)hexafluoropropan-2-ol,OC(CBr)(C(F)(F)F)C(F)(F)F,C4H3BrF6O,259.9271461,258.919867,4.326291317,3.999899517,64.73159286,-0.080133,-0.020033753
"3,4-dichloro-2,2,3,4,4-pentafluorobutanoic acid",OC(=O)C(F)(F)C(F)(Cl)C(F)(F)Cl,C4HCl2F5O2,245.9273757,244.9200955,4.326291317,3.999899517,61.23156206,-0.0799045,-0.019976627
"3,5,6-Trichloroperfluorohexanoic acid",OC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,C6HCl3F8O2,361.8914381,360.8841577,6.489436976,5.999849275,60.14887061,-0.1158423,-0.019307535
"2-(2-Chloro-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane-1-sulfonamide",NS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)Cl,C4H2ClF8NO3S,330.9316174,329.9243371,4.326291317,3.999899517,82.48315632,-0.0756629,-0.0189162
"1,1,2,2,3,3,4,4,4-nonafluoro-N-[(trifluoromethyl)sulfonyl]-1-Butanesulfonamide",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,C5HF12NO4S2,430.9155382,429.9082578,5.407864146,4.999874396,85.98381155,-0.0917422,-0.018348901
"2,3,3,3-Tetrafluoroprop-1-ene-1,1-dithiol",FC(=C(S)S)C(F)(F)F,C3H2F4S2,177.9534049,176.9461251,3.244718488,2.999924637,58.98352342,-0.0538749,-0.017958751
Perfluoropropanesulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,C3HF7O3S,249.9534624,248.9461822,3.244718488,2.999924637,82.98414537,-0.0538178,-0.017939717
